-1.69011,-0.192167,-1.00432,3.02141,-0.979078,QuickSort
1.59939,0.857853,1.06668,-0.418779,1.19198,QuickSort
-1.26894,0.856455,1.14637,1.38122,0.840981,QuickSort
-0.18112,0.313099,-1.00585,-0.691663,-1.22676,CountingSort
-1.1383,-0.466906,1.13944,1.03505,0.877649,RadixSort
-1.51262,0.928877,-1.0051,0.822445,-1.02005,QuickSort
-0.675561,1.08676,-1.00588,-0.869961,-1.38313,InsertionSort
-1.47572,-0.463991,-0.820719,-0.866244,0.202222,CountingSort
0.420531,0.0388608,0.27214,-0.197977,0.193239,RadixSort
-1.54907,-0.462439,-1.00558,1.52599,-1.22676,QuickSort
-0.196918,1.08656,-1.00563,-0.402409,-0.966219,QuickSort
-1.49219,0.891806,1.15286,2.39529,0.758037,QuickSort
-0.117039,-1.9335,1.11271,-0.0048473,1.05184,QuickSort
0.123303,1.08649,-1.00548,-0.237637,-0.82255,QuickSort
-0.807246,-0.207966,-1.00553,-0.0674692,-0.978944,RadixSort
0.395129,-0.462308,-1.00588,-0.725632,-1.22676,CountingSort
-1.55441,1.08676,-1.00576,-0.869961,-1.38313,InsertionSort
-1.07662,0.856771,1.14283,0.906175,0.893952,QuickSort
-0.00897593,-0.463847,-0.959962,-0.869038,0.200259,CountingSort
-1.45814,0.0356097,0.291418,2.18504,-0.00809587,RadixSort
0.27557,1.08676,-1.00591,-0.869961,-1.38313,InsertionSort
-1.39659,-0.212308,-1.00513,0.810504,-0.978922,QuickSort
0.581735,-0.459089,-0.942995,-0.868697,0.32909,CountingSort
0.648857,1.08676,-1.00591,-0.869961,-1.38313,InsertionSort
-1.27973,-0.449977,1.14514,1.41546,0.83738,RadixSort
-0.561008,-0.463556,1.12836,0.264308,0.993003,RadixSort
1.10807,0.0290219,0.265809,-0.347218,0.230395,RadixSort
-1.53157,-0.440526,-0.980155,-0.869447,-0.260169,CountingSort
0.837392,1.08676,1.0872,-0.297114,1.14111,InsertionSort
-1.34452,-1.98512,1.14891,1.64558,0.816296,QuickSort
1.49563,-1.50975,1.06632,-0.405344,1.18528,RadixSort
0.188867,-1.92492,1.10668,-0.126423,1.08514,QuickSort
0.34933,-1.70226,1.10092,-0.177477,1.10034,RadixSort
1.32612,1.08676,-1.00592,-0.869961,-1.38313,InsertionSort
0.50371,1.08657,-1.00565,-0.259858,-0.911137,QuickSort
-1.34478,0.0274253,0.293434,1.64639,0.020001,RadixSort
-0.886643,-0.462308,-1.0058,0.271489,-1.22676,QuickSort
-0.984397,0.0307273,0.290439,0.742843,0.081987,RadixSort
-1.61579,0.695167,1.15477,3.47666,0.693604,QuickSort
-0.0231049,0.859105,1.10896,-0.046208,1.06236,QuickSort
-0.579031,-0.462267,-1.00583,-0.423684,-1.22676,QuickSort
0.451867,-1.7323,1.09763,-0.206573,1.10954,CountingSort
-0.842699,0.857199,1.13348,0.543245,0.944148,QuickSort
0.0165008,-0.213187,0.276292,-0.0625337,0.172458,CountingSort
-1.27551,-0.448921,-0.580204,-0.861361,0.452637,CountingSort
1.13254,0.99596,-1.00587,-0.681571,-1.19516,CountingSort
-0.748468,1.08657,-1.00562,0.0364243,-1.02005,QuickSort
-1.41839,-0.466243,1.15105,1.97193,0.789088,RadixSort
0.0522127,0.85771,1.10807,-0.0766307,1.07071,QuickSort
-0.85019,1.08676,1.13524,0.55267,0.942905,InsertionSort
-0.609848,1.08642,-1.00542,0.0536156,-0.887449,QuickSort
1.16132,-0.467981,-0.931496,-0.868466,0.412171,CountingSort
0.792854,-1.68674,1.08879,-0.287935,1.13777,CountingSort
0.442411,-0.465074,1.09779,-0.203985,1.10867,CountingSort
-0.156311,-0.370032,-1.00519,-0.869947,-0.744008,CountingSort
1.41149,-1.66464,1.06927,-0.393844,1.18022,CountingSort
0.870323,1.08676,-1.00591,-0.869961,-1.38313,InsertionSort
-1.56265,1.08676,-1.00575,-0.869961,-1.38313,InsertionSort
1.56142,-0.463571,1.06615,-0.413966,1.18948,RadixSort
-1.4422,0.929461,-1.00447,1.62045,-0.944192,QuickSort
-0.645226,1.08676,1.13191,0.335419,0.979783,InsertionSort
0.094303,-0.0757729,-1.00579,-0.39572,-1.0704,QuickSort
0.698809,-1.90121,1.09006,-0.267581,1.13019,QuickSort
-1.37953,1.08676,-1.00581,-0.869961,-1.38313,InsertionSort
-0.0625623,0.856349,1.11061,-0.0293208,1.05801,QuickSort
-1.33733,-1.75933,1.14899,1.61791,0.81881,RadixSort
0.0610016,-0.468308,1.10549,-0.0800283,1.0713,RadixSort
0.00333596,1.08676,1.10824,-0.057184,1.06526,InsertionSort
-0.438075,-0.466386,-0.89658,-0.867766,0.337092,CountingSort
1.12001,-0.468648,-0.987479,-0.869591,0.0976776,CountingSort
0.310577,-0.459559,-0.884619,-0.867525,0.449147,CountingSort
0.15501,-0.465606,1.10463,-0.114678,1.08129,RadixSort
-0.851895,-0.455076,1.13285,0.554812,0.942227,RadixSort
-0.442451,0.857252,1.12394,0.177288,1.01037,QuickSort
1.28566,1.08676,-1.00592,-0.869961,-1.38313,InsertionSort
-1.54166,-1.59884,1.15396,2.75701,0.734466,RadixSort
0.902252,-0.4572,-0.888571,-0.867604,0.493336,CountingSort
-1.5918,0.858437,1.15838,3.21577,0.708221,QuickSort
0.304199,0.858631,1.10492,-0.163881,1.09652,QuickSort
0.849371,1.08672,-1.0058,-0.537158,-1.02005,QuickSort
-0.146261,-0.460655,1.1121,0.00887409,1.04822,RadixSort
1.13666,1.08676,-1.00592,-0.869961,-1.38313,InsertionSort
0.734558,-0.462329,-1.00588,-0.347234,-1.22676,QuickSort
0.054104,-0.21423,0.280583,-0.0774249,0.179149,RadixSort
-1.25441,-0.462386,-1.00572,0.0350296,-1.22676,QuickSort
-1.24291,-0.474107,-0.759492,-0.865014,0.348055,CountingSort
-0.805689,-0.470812,1.1312,0.499123,0.951003,RadixSort
0.351221,1.08676,-1.00591,-0.869961,-1.38313,InsertionSort
-0.722472,0.0497493,-1.00575,-0.665142,-1.13529,CountingSort
-1.28722,1.08577,-1.00456,1.03434,-0.871519,QuickSort
-1.32831,-0.462308,-1.0057,-0.575501,-1.22676,QuickSort
1.52964,1.08656,-1.00569,-0.465305,-0.842179,QuickSort
1.11026,-0.464682,-0.977614,-0.869393,0.192963,CountingSort
1.29304,0.893104,1.07362,-0.376651,1.17284,QuickSort
-1.13429,1.08676,-1.00585,-0.869961,-1.38313,InsertionSort
0.0053385,0.0341411,0.279995,-0.0579795,0.173393,RadixSort
-1.66633,1.08604,-1.00469,3.62779,-1.02005,QuickSort
-0.858571,-0.468565,-0.705701,-0.863924,0.483735,CountingSort
-0.300011,1.08676,-1.0059,-0.869961,-1.38313,InsertionSort
-1.41516,0.857036,1.15157,1.95553,0.790429,QuickSort
0.213157,-1.73962,1.1034,-0.134625,1.08714,RadixSort
-1.28159,-1.59735,1.14827,1.4213,0.837258,RadixSort
-1.09302,0.925489,-1.0054,0.600333,-0.97892,QuickSort
-0.443823,-0.462345,-1.00584,-0.512672,-1.22676,QuickSort
1.64304,-0.463843,1.066,-0.424204,1.19461,CountingSort
0.794523,1.08676,-1.00591,-0.869961,-1.38313,InsertionSort
0.637213,0.693199,1.09045,-0.253416,1.12504,QuickSort
1.23434,-1.66939,1.07499,-0.367663,1.16895,CountingSort
-1.15398,-0.0732677,-1.00556,-0.00799366,-1.0704,QuickSort
